List of TASE Companies,,,,,,,,,,,
As of 20/02/2026
Name,TASE Sector,Issuer No.,Corporate No.,Incorporation,Website,Market Cap (K ILS),Full Name,Address,Phone,Fax,E-Mail
ICL,"Real-Industry-Chemical, Rubber & Plastic",281,520027830,Israel,www.icl-group.com                                 ,21683302,ICL GROUP LTD,,03-6844400,03-6844444,contactus@icl-group.com
ICON GROUP,Real-Commerce & Services-Commerce,1993,513955252,Israel,www.icongroup.co.il,355247,ICON GROUP LTD,,03-9005311,03-9027791,rayaa@idigital.co.il
IDENTI HEALTH,High-Tech-Technology-Software And Internet,1921,515679405,Israel,www.identimedical.com                             ,27951,IDENTI HEALTHCARE LTD,,09-8354848,09-8656262,info@identimedical.com
IDOMOO,High-Tech-Technology-Software And Internet,1890,513973727,Israel,www.idomoo.com                                    ,67900,IDOMOO LTD,,077-2033227,077-2033226,ron.ela@idomoo.com
IES,Real-Real-Estate & Construction-Investment-Proerties In Israel,431,520039132,Israel,www.ies.com,2384457,IES HOLDINGS LTD.,,03-7133222,03-7133223,or.h@ies.com
ILD RENEWAL,Real-Real-Estate & Construction-Construction,1561,514423474,Israel,www.yeshuv.co.il,1095125,ISRAEL LAND DEVELOPMENT URBAN RENEWAL LTD,,03-7962224,03-7962226,kim@ildc.co.il
ILEX MEDICAL,Real-Commerce & Services-Commerce,1019,520042219,Israel,www.ilexmedical.com                               ,648463,ILEX MEDICAL LTD.,,03-9385501,03-9385809,talh@ilexmedical.com
IMAGESAT,High-Tech-Technology-Defence,2357,512737560,Israel,www.imagesatintl.com                              ,925099,IMAGESAT INTERNATIONAL (I.S.I) LTD.,,03-7960600,03-5163430,yuval.s@imagesatintl.com
IMCO,High-Tech-Technology-Defence,282,520037243,Israel,www.imco-ind.com                                  ,437766,IMCO INDUSTRIES LTD.,,04-9111020,04-9111024,miriam.d@imco-ind.com
IMED INFINITY,High-Tech-Biomed-Investments In Life Science,1833,540299518,Israel,,8680,IMED INFINITY MEDICAL-LIMITED PARTNERSHIP,,03-6075455,  03-6075456,itay.galor@innonation.io
INPLAY,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,2530,2023950211,Canada,,1035621,INPLAY OIL CORP.,,03-6111000,03-6133355,info@inplayoil.com
INROM CONSTRUCT,Real-Industry-Metal & Building Products,1616,515001659,Israel,www.inrom-group.co.il/english                     ,3086253,INROM CONSTRUCTION INDUSTRIES LTD,,03-9718181,03-9718193,tair@inrom-group.co.il
INTER INDSTRIES,Real-Industry-Electrical,1028,520042458,Israel,www.interplus.co.il/en/home                       ,131469,INTER INDUSTRIES PLUS LTD,,04-6414501,04-6414300,adi.bar@interplus.co.il
INTERCURE,High-Tech-Biomed-Cannabis,1480,512051699,Israel,www.intercure.co                                  ,152670,INTERCURE LTD,,077-4605012,09-7680244,info@intercure.com
INTERGAMA,Real-Real-Estate & Construction-Investment-Proerties In Israel,174,520034380,Israel,www.intergama.co.il                               ,154458,INTER-GAMMA INVESTMENT LTD.,,09-9521890,09-9521800,ruth@intergama.co.il
INTERNA ISSUES,Finance-Banks-Banks,1153,513141879,Israel,,0,FIRST INTERNATIONAL ISSUES LTD.,,03-5196223,03-5100316,mazkir@fibimail.co.il
ISPRO,Real-Real-Estate & Construction-Investment-Proerties In Israel,2430,516291754,Israel,www.ispro.co.il,0,ISPRO LTD,,03-5672727,03-5672728,noam@ispro.co.il
ISRACARD,Finance-Financial Services-Financial Services,1773,510706153,Israel,digital.isracard.co.il,5298692,ISRACARD LTD,,03-6895166,03-6895374,ykweller@isracard.co.il
ISRAEL CANADA,Real-Real-Estate & Construction-Construction,434,520039298,Israel,www.israel-canada.co.il/en                        ,7609880,ISRAEL CANADA (T.R) LTD,,09-9549091,09-9518005,guy@canada-israel.com
ISRAEL CORP.,"Real-Industry-Chemical, Rubber & Plastic",576,520028010,Israel,www.israelcorp.com                                ,6889792,THE ISRAEL CORPORATION LTD.,,03-6844517,03-6844587,mayaak@israelcorp.com
ISRAEL OPPORT.,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,1551,550236822,Israel,www.oilandgas.co.il/en                            ,91350,ISRAEL OPPORTUNITY ENERGY RESOURCES,,03-6116111,03-6116110,maya_g@oilandgas.co.il
ISRAEL PORTS,Real-Real-Estate & Construction-Investment-Proerties In Israel,1739,513569780,Israel,www.israports.org.il/en                           ,0,ISRAEL PORTS-DEVELOPMENT & ASSETS COMPANY,,03-5657905,03-5617142,ipc@israports.co.il
ISRAEL RAILWAYS,Real-Commerce & Services-Services,1641,520043613,Israel,www.rail.co.il/en                                 ,0,ISRAEL RAILWAYS CORPORATION LTD,,08-6831222,,pniyotz@rail.co.il
ISRAEL SHIPYARD,Real-Investment & Holdings-Investment & Holdings,1810,516084753,Israel,www.is-ind.com/?lang=en                           ,3902500,ISRAEL SHIPYARDS INDUSTRIES LTD,,04-8460469,04-8460470,aviadf@is-ind.com
ISRAIR GROUP,Real-Commerce & Services-Services,1238,510291750,Israel,www.israirairlines.com                            ,405019,ISRAIR GROUP LTD,,03-7955801,03-7955810,corporate@israir.co.il
ISRAMCO,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,232,550010003,Israel,,6013307,ISRAMCO NEGEV 2 LIMITED PARTNERSHIP,,03-9229225,03-9229255,david.s@equital-group.com
ISRAS,Real-Real-Estate & Construction-Investment-Proerties In Israel,613,520017807,Israel,www.israsgroup.co.il,4644608,ISRAS INVESTMENT COMPANY LTD.,,03-7130200,03-5606955,johnatan@rassco.co.il
ISRAS HOLDINGS,Real-Real-Estate & Construction-Investment-Proerties In Israel,2435,516632387,Israel,,2568226,ISRAS HOLDINGS LTD,,03-7130200,03-5606955,johnatan@rassco.co.il
ISROTEL,Real-Commerce & Services-Hotels & Tourism,1032,520042482,Israel,www.isrotel.com                                   ,10154985,ISROTEL LTD.,,03-5197777,03-5104646,beckasaf@isrotel.co.il
ISSTA,Real-Commerce & Services-Hotels & Tourism,1036,520042763,Israel,www.issta.co.il,1838367,ISSTA LTD.,,03-7777300,03-7777301,eitanar@issta.co.il
ISTA ASSETS,Real-Real-Estate & Construction-Construction,2520,512553058,Israel,,0,ISTA ASSETS LTD,,03-7777396,,julioguetta@issta.co.il
JACOB FINANCE,Finance-Financial Services-Non Banking Credit,2364,514288661,Israel,,862168,JACOB FINANCE AND INVESTMENTS LTD,,074-7494900,074-7494922,noy@finance-ltd.com
JEEN AI TECH,High-Tech-Technology-Software And Internet,1370,510930787,Israel,www.jeen.ai                                       ,251865,JEEN AI TECHNOLOGIES LTD,,03-5733239,03-5733242,or@jeen.ai
JERUSALEM BANK,Finance-Banks-Banks,726,520025636,Israel,www.bankjerusalem.co.il/en                        ,1633896,BANK OF JERUSALEM L.T.D.,,076-8096000,076-8096019,tamirl@bankjerusalem.co.il
JERUSALEM ISSUA,Finance-Banks-Banks,1248,513682146,Israel,,0,JERUSALEM FINANCE & ISSUANCE (2005) LTD.,,076-8096000,076-8096019,tamirl@bankjerusalem.co.il
JORDAN ESHEL,Real-Real-Estate & Construction-Construction,2396,512061185,Israel,www.eshelltd.co.il,0,JORDAN ESHEL CONSTRUCTION & DEVELOPMENT LTD,,04-8217171,04-8214343,moran@eshelltd.co.il
JUNGO,High-Tech-Technology-Software And Internet,1929,514663335,Israel,www.jungo.com                                     ,27336,JUNGO CONNECTIVITY LTD,,09-9708607,,ir@jungo.com
KAFRIT,"Real-Industry-Chemical, Rubber & Plastic",522,520038787,Israel,www.kafrit.com                                    ,639300,KAFRIT INDUSTRIES (1993) LTD.,,08-6809845,08-6809846,kafrit@kafrit.co.il
KAMADA,High-Tech-Biomed-Biotechnology,1267,511524605,Israel,www.kamada.com                                    ,1584509,KAMADA LTD.,,08-9406472,08-9406473,mosheb@kamada.com
KARDAN ISRAEL,Real-Real-Estate & Construction-Construction,121,520033457,Israel,,748516,KARDAN ISRAEL LTD.,,03-6083444,03-6083434,naama@kardanre.co.il
KARDAN N.V-M,Real-Investment & Holdings-Investment & Holdings,1154,NV1239114,Holland,www.kardan.nl                                     ,590,KARDAN N.V.,,03-5114584,,ran@kardan.nl
KARDAN REAL EST,Real-Real-Estate & Construction-Construction,1083,520041005,Israel,www.kardan-nadlan.co.il,1038517,KARDAN REAL ESTATE ENTERPRISE AND DEVELOPMENT LTD,,03-6891200,03-6911661,ayelet@kardanre.co.il
KATA GROUP,Real-Real-Estate & Construction-Construction,2521,516829082,Israel,,0,KATA GROUP - GIL KATA LTD,,03-3731277,,hagai@katagroup.co.il
KENON HOLDINGS,Real-Energy And Oil & Gas Exploration-Energy,1635,201406588w,Singapore,www.kenon-holdings.com                            ,12985413,KENON HOLDINGS LTD,,03-7109191,03-5606555,barakc@kenon-holdings.com
KERUR,Real-Industry-Food,621,520001546,Israel,www.kerur-holdings.co.il,1120784,KERUR HOLDINGS LTD,,03-5689200,03-5689222,lior@jafora-tabori.co.il
KEYSTONE INFRA,Real-Investment & Holdings-Investment & Holdings,1904,515983476,Israel,www.keystoneisrael.com/en                         ,2921931,KEYSTONE INFRA LTD,,03-3770012,03-7524457,rachel@keystoneisrael.com
KLIL,Real-Industry-Metal & Building Products,797,520032442,Israel,www.klil.co.il/en/                                ,408586,KLIL INDUSTRIES LTD.,,04-9900200,04-9900255,mirit@klil.co.il
KNAFAIM,Real-Commerce & Services-Services,543,520040700,Israel,www.knafaim.co.il/en                              ,291359,KNAFAIM HOLDINGS LTD.,,03-6539999,03-6539977,knafaim@knafaim.co.il
LACHISH,Real-Industry-Metal & Building Products,826,520033317,Israel,www.rmhmixer.com                                  ,108045,LACHISH INDUSTRIES LTD.,,08-6891121,08-6899147,gershon@lachish.com
LAHAV,Real-Investment & Holdings-Investment & Holdings,136,520034257,Israel,www.lahavgroup.co.il/en                           ,2924837,LAHAV L.R. REAL ESTATE LTD,,09-9527700,09-8359108,dotan@lahavgroup.com
LAND DEV,Real-Real-Estate & Construction-Investment-Proerties In Israel,612,520020116,Israel,www.ildc.co.il/en                                 ,1555110,LAND DEVELOPMENT OF NIMRODI GROUP LTD,,03-7962224,03-7962226,kim@ildc.co.il
LANTERRA CANADA,Real-Real-Estate & Construction-Construction,2503,1001171286,Canada,,0,LANTERRA CANADA ENTERPRISES LIMITED PARTNERSHIP,,03-6111000,,itayy@shimonov.com
LAPIDOTH CAP.,Real-Investment & Holdings-Investment & Holdings,642,520022971,Israel,,5570924,LAPIDOTH CAPITAL LTD,,03-6417241,03-6417246,lapidoth@lapidoth.co.il
LAPIDOTH HELETZ,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,1216,550217129,Israel,www.lapidoth.co.il                                ,98586,LAPIDOTH-HELETZ - LIMITD PARTNERSHIP,,03-6417241,03-6417246,lapidoth@lapidoth.co.il
LESICO,Real-Real-Estate & Construction-Construction,1680,510512056,Israel,www.lesico.com/?lang=en                           ,195572,LESICO LTD,,074-5505453,074-7500688,lesico@lesico.com
LEUMI BANK,Finance-Banks-Banks,604,520018078,Israel,english.leumi.co.il                               ,112929156,BANK LEUMI LE- ISRAEL B.M.,,076-8858111,076-8859732,david_s@bll.co.il
LEVI-M,Real-Real-Estate & Construction-Construction,719,520041096,Israel,,0,A.LEVI INVESTMENT & CONSTRUCTION LTD.,,04-6643000,04-8344439,mirna@a-levy.co.il
LEVINSKI OFER,Real-Real-Estate & Construction-Construction,200,520036005,Israel,www.levinski-ofer.co.il                           ,150626,LEVINSKI OFER LTD,,03-5001500,03-5750780,jonathan@lbt.co.il
LEVINSTEIN ENG,Real-Real-Estate & Construction-Construction,573,520033424,Israel,www.levinstein.co.il/en                           ,3080943,MESHULAM LEVINSTEIN CONSTRUCTING & ENGINEERING LTD,,03-7100200,03-7100222,ylotan@levinstein.co.il
LEVINSTEIN PROP,Real-Real-Estate & Construction-Investment-Proerties In Israel,1536,511134298,Israel,www.levinstein.co.il/about/                       ,0,LEVINSTEIN PROPERTIES LTD,,03-7100200,03-7100222,ylotan@levinstein.co.il
LIAM BUSINESS,Real-Real-Estate & Construction-Construction,2474,516586047,Israel,,0,LIAM ENGINEERING GROUP HARISH BUSINESS CENTER LTD,,03-5100827,,office1@liam.org.il
LIBENTAL,Real-Real-Estate & Construction-Construction,584,520032947,Israel,www.lbt.co.il,201703,A.LIBENTAL HOLDINGS LTD.,,03-6129988,03-5750780,jonathan@lbt.co.il
LIBRA,Finance-Insurance-Insurance,1926,515761625,Israel,www.lbr.co.il,791360,LIBRA INSURANCE COMPANY LTD,,073-3949222,073-3949229,tzahit@lbr.co.il
LIGHTSTON,Real-Real-Estate & Construction-Investment-Proerties Abroad,1630,1838682,Virgin Islands (UK),,0,LIGHTSTONE ENTERPRISES LIMITED,,03-6111000,03-6733355,thelightstonegroup@lightstonegroup.com
LINEAGE THERAP,High-Tech-Biomed-Biotechnology,1651,876343,USA,www.lineagecell.com                               ,1040494,LINEAGE CELL THERAPEUTICS INC.,,03-6073777,03-6073778,info@biotimeinc.com
LIVEPERSON,High-Tech-Technology-Software And Internet,1579,13-3861628,USA - Delaware,www.liveperson.com                                ,99526,LIVEPERSON INC.,,074-7004001,074-7004990,ilinvestors@liveperson.com
LIVING STONE,Real-Real-Estate & Construction-Investment-Proerties Abroad,2506,863439895,Holland,,0,LIVING STONE B.V.,,052-3577921,,daniel@livingstone-immo.nl
LODZIA,Real-Real-Estate & Construction-Investment-Proerties Abroad,753,520000779,Israel,,86679,LODZIA REAL ESTATE LTD.,,03-5171360,03-5171345,lodzia@lodzia.com
LUDAN,Real-Commerce & Services-Services,1050,520043381,Israel,www.ludan-group.com                               ,127924,LUDAN ENGINEERING CO. LTD.,,03-9182000,03-9182022,rome@ludan.co.il
LUDAN-TECH,High-Tech-Technology-Software And Internet,2491,517124475,Israel,,57554,LUDAN-TECH (L.K.) LTD,,03-9182000,03-9182022,rome@ludan.co.il
LUZON CREDIT,High-Tech-Technology-Software And Internet,666,520040965,Israel,www.tarya.co.il/en                                ,177819,LUZON CREDIT AND FINANCE LTD,,03-9107272,03-9107270,support@tarya.co.il
LUZON GROUP,Real-Real-Estate & Construction-Construction,473,520039660,Israel,www.luzongroup.co.il,2142037,AMOS LUZON DEVELOPMENT AND ENERGY GROUP LTD,,09-9705500,09-9705517,mail@luzongroup.co.il
LUZON RONSON,Real-Real-Estate & Construction-Construction,2429,24310225,Holland,www.luzongroup.co.il,1947365,LUZON RONSON N.V.,,09-9705500,09-9705517,mail@luzongroup.co.il
M.L.R.N,Finance-Financial Services-Non Banking Credit,1787,514097591,Israel,www.mlrn.co.il,438220,M.L.R.N PROJECTS AND TRADING LTD,,03-6424071,03-9012360,office@mlrn.co.il
M.W. INVES,Real-Real-Estate & Construction-Investment-Proerties In Israel,2398,510920879,Israel,,0,M.W. INVESTMENTS LTD,,03-9561152,03-9561156,guy@mweinberg.co.il
MAGIC,High-Tech-Technology-Software And Internet,2026,520036740,Israel,www.magicsoftware.com                             ,2845290,MAGIC SOFTWARE ENTERPRISES LTD.,,03-5389201,03-5389333,aberenstein@magicsoftware.com
MALAM TEAM,High-Tech-Technology-IT Services,156,520034620,Israel,www.malamteam.com/home                            ,2046547,MALAM-TEAM LTD.,,03-9278300,03-9278203,toker@malamteam.com
MALAM-TEAM HOLD,High-Tech-Technology-IT Services,731,520025198,Israel,,1076069,MALAM-TAEM HOLDINGS LTD.,,03-7130200,03-5606955,johnatan@rassco.co.il
MAMAN,Real-Commerce & Services-Services,238,520036435,Israel,en.maman-group.co.il                              ,0,MAMAN- CARGO TERMINALS & HANDLING LTD.,,03-9715300,03-9721733,maman@maman.co.il
MASLAVI,Real-Real-Estate & Construction-Construction,1484,512726712,Israel,www.matzlawi.co.il,342482,MASLAVI CONSTRUCTION COMPANY LTD.,,03-5384100,03-5338437,office@matzlawi.co.il
MASSIVIT,High-Tech-Technology-Robotics & 3d,1864,514919810,Israel,www.massivit3d.com                                ,32731,MASSIVIT 3D PRINTING TECHNOLOGIES LTD.,,08-6519486,08-6900758,noac@massivit.com
MATRICELF,High-Tech-Biomed-Biotechnology,1902,516016037,Israel,www.matricelf.com                                 ,154208,MATRICELF LTD,,052-4029178,08-8609591,info@matricelf.com
MATRIX,High-Tech-Technology-IT Services,445,520039413,Israel,www.matrix-globalservices.com                     ,6253004,MATRIX IT LTD.,,09-9598810,09-9598050,yifatg@matrix.co.il
MAX IT,Finance-Financial Services-Financial Services,1763,512905423,Israel,www.max.co.il,0,MAX IT FINANCE LTD,,03-6175499,,max-investorrilations@max.co.il
MAX STOCK,Real-Commerce & Services-Retail,1815,513618967,Israel,ir.maxstock.co.il/en                              ,4133192,MAX STOCK LTD.,,073-7695176,04-8241792,ifat@maxstock.co.il
MAYTRONICS,High-Tech-Technology-Robotics & 3d,1212,511527202,Israel,www.maytronics.com                                ,384974,MAYTRONICS LTD.,,04-6598111,04-6522485,amit.magen@maytronics.com
MDG,Real-Real-Estate & Construction-Investment-Proerties Abroad,1632,1840550,Virgin Islands (UK),,0,MDG REAL ESTATE GLOBAL LIMITED,,03-6089999,03-6089885,dmarx@atriabuilders.com
MEDI TOWER,Real-Real-Estate & Construction-Investment-Proerties In Israel,1614,512719485,Israel,www.migdalei.co.il/en                             ,2467599,MEDITERRANEAN TOWERS LTD,,073-2266411,073-2266410,info@meditowers.co.il
MEDIPOWER,Real-Real-Estate & Construction-Investment-Proerties Abroad,1433,123830,Cyprus,www.medipowergroup.com                            ,352846,MEDI POWER (OVERSEAS) PUBLIC CO LIMITED.,,079-9697032,  03-5670101,ron@medipowergroup.com
MEDIPRESS HEALT,High-Tech-Biomed-Investments In Life Science,1983,540305380,Israel,www.medipressventures.com                         ,8887,MEDIPRESS HEALTH-LIMITED PARTNERSHIP,,054-5331103,077-4206018,roee@rl-cpa.co.il
MEGA OR,Real-Real-Estate & Construction-Investment-Proerties In Israel,1450,513257873,Israel,www.megaor.co.il,17721356,MEGA OR HOLDINGS LTD,,08-9744880,08-9744898,megaor@megaor.co.il
MEGIDO,Real-Real-Estate & Construction-Construction,2458,510542855,Israel,,1048957,MEGIDO Y.K. LTD,,03-7525567,,office@megido.co.il
MEGUREIT,Real-Real-Estate & Construction-Investment-Proerties In Israel,1668,515434074,Israel,www.megureit.co.il,1341358,MEGUREIT ISRAEL LTD,,03-5007577,03-9442727,office@megureit.co.il
MEHADRIN,Real-Industry-Food,686,520018482,Israel,www.mehadrin.co.il                                ,1117043,MEHADRIN LTD.,,03-9371300,03-9371303,amaliao@mehadrin.co.il
MEITAV INVEST,Finance-Financial Services-Financial Services,1064,520043795,Israel,www.meitav.co.il,10854220,MEITAV INVESTMENT HOUSE LTD,,03-7903000,03-5169001,liat.cohen-david@meitav.co.il
MEITAV TRADE,Finance-Financial Services-Financial Services,2428,516854239,Israel,www.meitav.co.il,1270413,MEITAV TRADE INVESTMENTS LTD,,03-7903555,03-7903590,jonathan.mudrik@meitav.co.il
MEKOROT,Real-Commerce & Services-Services,1150,520010869,Israel,www.mekorot-int.com                               ,0,MEKOROT WATER COMPANY LTD,,03-6230555,03-6230833,yossic@mekorot.co.il
MELISRON,Real-Real-Estate & Construction-Investment-Proerties In Israel,323,520037789,Israel,www.melisron.co.il                                ,22019462,MELISRON LTD.,,09-9525555,09-9540893,info@melisron.co.il
MENARA VENTURES,High-Tech-Technology-Investments In High-Tech,1914,540304045,Israel,www.menaraventures.com                            ,7950,MENARA VENTURES XL-LIMITED PARTNERSHIP,,052-3576315,03-5330780,info@menaraventures.com
MENDELSON INFR,Real-Commerce & Services-Commerce,1247,513660373,Israel,www.mendelson.co.il/eng                           ,580831,MENDELSON INFRASTRUCTURES & INDUSTRIES LTD,,04-8464991,04-8464713,rahelb@mendelson.co.il
MENIF-FINANCIAL,Finance-Financial Services-Non Banking Credit,1828,512764408,Israel,www.menif.co.il/en                                ,1601239,MENIF-FINANCIAL SERVICES LTD,,03-6124005,03-6136943,maor@menif.co.il
MENIVIM REIT,Real-Real-Estate & Construction-Investment-Proerties In Israel,1679,515327120,Israel,www.menivim-reit.co.il/menivim-reit               ,1891383,MENIVIM-THE NEW REIT LTD,,072-2506090,072-2506190,office@menivim-reit.co.il
MENORA MIV HOLD,Finance-Insurance-Insurance,566,520007469,Israel,www.menoramivt.co.il/en                           ,31233103,MENORA MIVTACHIM HOLDINGS LTD,,03-7107801,03-7107633,shimoni@menora.co.il
MENORA MIV HON,Finance-Insurance-Insurance,1431,513937714,Israel,,0,MENORA MIVTACHIM GIUS HON LTD.,,03-7107801,03-7107633,shimoni@menora.co.il
MER,High-Tech-Technology-Defence,338,520037805,Israel,www.mer-group.com                                 ,552346,C. MER INDUSTRIES LTD.,,03-5572555,03-5567904,aviad_l@mer-group.com
MERAV DEPOSITS,Financial Instruments-Financial Instrument-Structured Bonds,2465,517081956,Israel,www.elladepo.co.il,0,MERAV DEPOSITS LTD,,03-6391474,03-7734007,frshlomi@elladepo.co.il
MERCANTILE HANP,Finance-Banks-Banks,1266,513686154,Israel,,0,MERCANTILE HANPAKOT LTD.,,076-8044999,076-8044522,meytalfr@mdb.co.il
MERCHAVIA HOLD,High-Tech-Biomed-Investments In Life Science,257,520036724,Israel,www.merchavia.com                                 ,37885,MERCHAVIA HOLDINGS AND INVESTMENTS LTD,,03-5788770,077-4701479,earad01@gmail.com
MESHEK ENERGY,Real-Energy And Oil & Gas Exploration-Energy,1803,516167343,Israel,www.mske.co.il/en                                 ,7375669,MESHEK ENERGY-RENEWABLE ENERGIES LTD,,09-7701551,03-6233600,office@mske.co.il
MIA DYNAMICS,High-Tech-Technology-Electronics And Optics,494,520039900,Israel,www.miadynamics.com                               ,208517,MIA DYNAMICS MOTORS LTD,,054-9279273,054-9279273,info@miadynamics.com
MICHLOL FINANCE,Finance-Financial Services-Non Banking Credit,1944,515763845,Israel,www.michlol-fin.co.il,763994,MICHLOL FINANCE,,03-5178800,03-3176600,talf@michlol-fin.co.il
MICHPAL,High-Tech-Technology-IT Services,2511,510996481,Israel,,811949,MICHPAL TECHNOLOGIES LTD,,03-5620191,,litalh@michpal.co.il
MIGDAL INS FUND,Finance-Insurance-Insurance,1597,513230029,Israel,,0,MIGDAL INSURANCE FUNDS RAISING LTD,,076-8868962,03-9238988,migdalcapital@migdal.co.il
MIGDAL INSUR.,Finance-Insurance-Insurance,1041,520029984,Israel,www.migdal.co.il/en                               ,19836526,MIGDAL INSURANCE & FINANCIAL HOLDINGS LTD.,,076-8868962,03-9238988,migdalhold@migdal.co.il
MILLENNIUM FDTC,High-Tech-Technology-Foodtech,1806,540288149,Israel,www.millennium-ft.com/en                          ,10865,MILLENNIUM FOOD-TECH-LIMITED PARTNERSHIP,,054-6470945,073-2407038,oren@millennium-ft-com
MINRAV,Real-Real-Estate & Construction-Construction,155,520034505,Israel,www.minrav.co.il/en                               ,0,MINRAV GROUP LTD.,,08-8516262,08-8521295,holdings@minrav.co.il
MIRLAND-M,Real-Real-Estate & Construction-Construction,1502,HE153919,Cyprus,www.mirland-development.com                       ,638,MIRLAND DEVELOPMENT CORPORATION PLC,,03-5670100,03-5670101,office@mirland-development.com
MISHORIM,Real-Real-Estate & Construction-Investment-Proerties Abroad,1467,511491839,Israel,www.mishorim.com/en                               ,166107,MISHORIM REAL ESTATE INVESTMENTS LTD,,03-7217800,03-7217801,office@mishorim.com
MIVNE,Real-Real-Estate & Construction-Investment-Proerties In Israel,226,520024126,Israel,www.mivnegroup.co.il,10170345,MIVNE REAL ESTATE (K.D) LTD,,03-9070000,03-9070190,info@mivnegroup.co.il
MIVTACH SHAMIR,Real-Investment & Holdings-Investment & Holdings,127,520034125,Israel,www.msgroup.co.il/en                              ,4112678,MIVTACH SHAMIR HOLDINGS LTD.,,03-7684949,03-6442099,limor@msgroup.co.il
MIZRAHI TEFAHOT,Finance-Banks-Banks,695,520000522,Israel,www.mizrahi-tefahot.co.il/en                      ,63768387,MIZRAHI TEFAHOT BANK LTD.,,03-7559720,03-7559923,management@umtb.co.il
MIZRAHI TF ISSU,Finance-Banks-Banks,231,520032046,Israel,,0,MIZRAHI TEFAHOT ISSUING COMPANY LTD,,03-7559017,03-7559195,saadiaa@umtb.co.il
MODIIN,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,345,550012405,Israel,www.modiin-energy.com/en                          ,25346,MODIIN ENERGY-LIMITED PARTNERSHIP,,073-2683611,073-2683615,office@modiin-energy.com
MORE INVEST.,Finance-Financial Services-Financial Services,1692,513834606,Israel,www.moreinvest.co.il/en                           ,3297135,Y.D. MORE INVESTMENTS LTD,,074-7811111,074-7811920,ir-more@more.co.il
MORE PENSION,Finance-Financial Services-Financial Services,2358,514956465,Israel,www.moreinvest.co.il/en                           ,2052291,MORE PROVIDENT FUNDS AND PENSION LTD,,074-7811111,074-7811920,ir-more@more.co.il
MRR,Real-Real-Estate & Construction-Investment-Proerties Abroad,1756,1983001,Virgin Islands (UK),,0,MRR THIRTEEN LIMITED,,212-7541313,212-7541313,cfo@mrrcapital.com
MULTI RETAIL,Real-Commerce & Services-Retail,1738,515546224,Israel,www.ace.co.il,206398,MULTI RETAIL GROUP LTD,,03-9051906,1533-9051906,galitf@ace.co.il
MY TOWN,Real-Real-Estate & Construction-Construction,2449,514444660,Israel,https://my-town.co.il,0,MY TOWN GROUP,,03-9738383,,info@my-town.co.il
MYDAS INVEST,Real-Real-Estate & Construction-Investment-Proerties In Israel,544,520039496,Israel,,42495,MYDAS REAL ESTATE INVESTMENTS LTD,,03-7684150,03-7684153,shelly@mydas.co.il
NAMCO REALTY,Real-Real-Estate & Construction-Investment-Proerties Abroad,1665,1905761,Virgin Islands (UK),,0,NAMCO REALTY LTD,,03-6123939,03-6125030,info@usrer.com
NAPHTHA,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,643,520020942,Israel,,2551049,NAPHTHA ISRAEL PETROLEUM CORP. LTD.,,03-9229225,03-9229255,david.s@equital-group.com
NAVITAS PETRO,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,1688,550263107,Israel,www.navitaspet.com                                ,15521939,"NAVITAS PETROLEUM,LIMITED PARTNERSHIP",,09-7883680,09-7883687,meital@navitaspet.com
NAWI,Finance-Financial Services-Non Banking Credit,208,520036070,Israel,www.nawigroup.com,1817740,NAWI GROUP LTD,,03-5102585,  03-5161505,aviv@nawigroup.com
NAYAX,High-Tech-Technology-Software And Internet,1894,513639013,Israel,www.nayax.com                                     ,6427912,NAYAX LTD.,,03-7694380,09-8644201,galom@nayax.com
NETANEL GROUP,Real-Real-Estate & Construction-Construction,421,520039074,Israel,www.netanel.co.il/en                              ,322192,NETANEL GROUP LTD.,,03-5059998,03-5012276,dani@netanel.co.il
NETANEL MENIVI,Real-Real-Estate & Construction-Investment-Proerties In Israel,2412,516235918,Israel,,92007,NETANEL MENIVIM LTD,,03-5059998,03-5012276,dani@netanel.co.il
NETO,Real-Industry-Food,168,520034109,Israel,www.neto.org.il/en                                ,1110305,NETO M.E HOLDINGS LTD.,,08-8608585,08-8503086,ora@em-neto.co.il
NETO MALINDA,Real-Commerce & Services-Commerce,1463,511725459,Israel,www.neto.org.il/en                                ,3872452,NETO MALINDA TRADING LTD,,08-8608500,08-8503086,ora@em-neto.co.il
NETZ USA,Real-Real-Estate & Construction-Investment-Proerties Abroad,2475,2168644,Virgin Islands (UK),,0,NETZ USA LTD,,054-4684144,,tsahi@netzgroup.com
NEWMED ENERG PU,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,475,550013098,Israel,www.newmedenergy.com                              ,24755752,NEWMED ENERGY-LIMITED PARTNERSHIP,,09-9712424,09-9712425,info@newmedenergy.com
NEXT VISION,High-Tech-Technology-Defence,1916,514259019,Israel,www.nextvision-sys.com                            ,30315160,NEXT VISION STABILIZED SYSTEMS,,077-5342041,077-5442040,chen.g@nextvision-sys.com
